Approved Symbol	Approved Name	Previous Symbols	Synonyms	Chromosome
CASC2	cancer susceptibility candidate 2 (non-protein coding)	C10orf5		10q26.12
CASC3	cancer susceptibility candidate 3		MLN51, BTZ	17q21.1
CASC4	cancer susceptibility candidate 4		H63, DKFZp459F1927	15q15.1
CASC4P1	cancer susceptibility candidate 4 pseudogene 1			13q12.11
CASC5	cancer susceptibility candidate 5		D40, AF15Q14, CT29, hKNL-1, KNL1, hSpc105, PPP1R55, Spc7	15q14
CASC6	cancer susceptibility candidate 6 (non-protein coding)			6q15
CASC7	cancer susceptibility candidate 7 (non-protein coding)		LINC00980	8q24.3
CASC8	cancer susceptibility candidate 8 (non-protein coding)		LINC00860, CARLo-1	8q24.21
CASC9	cancer susceptibility candidate 9 (non-protein coding)		LINC00981	8q21.11
CASC10	cancer susceptibility candidate 10	C10orf114	bA418C1.3	10p12.31
CASC11	cancer susceptibility candidate 11 (non-protein coding)		TCONS_00014535, LINC00990, CARLo-7	8q24.21
CASC15	cancer susceptibility candidate 15 (non-protein coding)	LINC00340		6p22.3
CASC16	cancer susceptibility candidate 16 (non-protein coding)	LINC00918	LOC643714	16q12.1
CASC17	cancer susceptibility candidate 17 (non-protein coding)		LINC00600	17q24.3
CASC18	cancer susceptibility candidate 18 (non-protein coding)		LOC101929110	12q23.3
CASC19	cancer susceptibility candidate 19 (non-protein coding)	LINC01245	CARLo-6	8q24.21
CASC20	cancer susceptibility candidate 20 (non-protein coding)			20p12.3
CASC21	cancer susceptibility candidate 21 (non-protein coding)	LINC01244	CARLo-2	8q24.21
CASC22	cancer susceptibility candidate 22 (non-protein coding)	LINC01373	TCONS_00024290, LincRNA-ENST00000515084	16q12.1
CASC23	cancer susceptibility candidate 23 (non-protein coding)		LINC01464	11p15.4
CASD1	CAS1 domain containing 1		FLJ21213, FLJ21879, C7orf12	7q22
CASK	calcium/calmodulin-dependent serine protein kinase (MAGUK family)	TNRC8	LIN2, CAGH39, FGS4	Xp11.4
CASK-AS1	CASK antisense RNA 1			Xp11.4
CASKIN1	CASK interacting protein 1		KIAA1306, ANKS5A	16p13.3
CASKIN2	CASK interacting protein 2		KIAA1139, FLJ21609, ANKS5B	17q25.1
CASKP1	calcium/calmodulin-dependent serine protein kinase (MAGUK family) pseudogene 1	CASKP		Yq11
CASP1	caspase 1, apoptosis-related cysteine peptidase	IL1BC	ICE	11q23
CASP1P1	caspase 1, apoptosis-related cysteine peptidase pseudogene 1			11q22.3
CASP1P2	caspase 1, apoptosis-related cysteine peptidase pseudogene 2			11q22.3
CASP1P3	caspase 1, apoptosis-related cysteine peptidase pseudogene 3			11q22.3
CASP2	caspase 2, apoptosis-related cysteine peptidase	NEDD2	ICH1, PPP1R57, MGC2181	7q34-q35
CASP3	caspase 3, apoptosis-related cysteine peptidase		CPP32, CPP32B, Yama, apopain	4q34
CASP3P1	caspase 3, apoptosis-related cysteine peptidase pseudogene 1			1p31.1
CASP4	caspase 4, apoptosis-related cysteine peptidase		ICE(rel)II, ICH-2, TX	11q22.2-q22.3
CASP5	caspase 5, apoptosis-related cysteine peptidase		ICE(rel)III	11q22.2-q22.3
CASP6	caspase 6, apoptosis-related cysteine peptidase		MCH2	4q25
CASP7	caspase 7, apoptosis-related cysteine peptidase		MCH3, CMH-1, ICE-LAP3	10q25
CASP8	caspase 8, apoptosis-related cysteine peptidase		MCH5, MACH, FLICE, Casp-8	2q33-q34
CASP8AP2	caspase 8 associated protein 2		FLASH, CED-4, RIP25, FLJ11208, KIAA1315	6q15
CASP9	caspase 9, apoptosis-related cysteine peptidase		MCH6, ICE-LAP6, APAF-3, PPP1R56	1p36.21
CASP10	caspase 10, apoptosis-related cysteine peptidase		MCH4	2q33-q34
CASP12	caspase 12 (gene/pseudogene)	CASP12P1		11q22.3
CASP14	caspase 14, apoptosis-related cysteine peptidase		MICE, MGC119078, MGC119079	19p13.1
CASP16	caspase 16, apoptosis-related cysteine peptidase (putative)			16p13.3
CASQ1	calsequestrin 1 (fast-twitch, skeletal muscle)	CASQ	PDIB1	1q21
CASQ2	calsequestrin 2 (cardiac muscle)		PDIB2	1p13.1
CASR	calcium-sensing receptor	HHC, HHC1	FHH, NSHPT, GPRC2A	3q21.1
CASS4	Cas scaffolding protein family member 4	C20orf32	HEFL, HEPL	20q13.31
CAST	calpastatin			5q15
CASZ1	castor zinc finger 1		FLJ20321, ZNF693, castor, cst, SRG	1p36.22
CAT	catalase			11p13
CATHL1L~withdrawn	entry withdrawn			
CATHLP~withdrawn	entry withdrawn			
CATIP	ciliogenesis associated TTC17 interacting protein	C2orf62	MGC50811	2q35
CATIP-AS1	CATIP antisense RNA 1			2q35
CATIP-AS2	CATIP antisense RNA 2			2q35
CATR1	CATR tumorigenicity conversion 1			7q32
CATSPER1	cation channel, sperm associated 1		CATSPER	11q12.1
CATSPER2	cation channel, sperm associated 2			15q15.3
CATSPER2P1	cation channel, sperm associated 2 pseudogene 1			15q15.3
CATSPER3	cation channel, sperm associated 3		CACRC	5q31.2
CATSPER4	cation channel, sperm associated 4			1p35.3
CATSPERB	catsper channel auxiliary subunit beta	C14orf161	FLJ14298	14q32.12
CATSPERD	catsper channel auxiliary subunit delta	TMEM146	MGC39581	19p13.3
CATSPERG	catsper channel auxiliary subunit gamma	C19orf15	DKFZp434A1022, FLJ46353	19q13.1
CAV1	caveolin 1, caveolae protein, 22kDa	CAV		7q31
CAV2	caveolin 2		CAV	7q31
CAV3	caveolin 3		VIP-21, LGMD1C, VIP21, LQT9	3p25
CAV~withdrawn	symbol withdrawn, see CAV1			
CBBM~withdrawn	symbol withdrawn, see OPN1MW and OPN1LW			
CBD~withdrawn	symbol withdrawn, see OPN1MW			
CBFA1~withdrawn	symbol withdrawn, see RUNX2			
CBFA2T2	core-binding factor, runt domain, alpha subunit 2; translocated to, 2		MTGR1, ZMYND3	20q11
CBFA2T3	core-binding factor, runt domain, alpha subunit 2; translocated to, 3		MTGR2, ZMYND4, MTG16	16q24
CBFA2~withdrawn	symbol withdrawn, see RUNX1			
CBFA3~withdrawn	symbol withdrawn, see RUNX3			
CBFB	core-binding factor, beta subunit		PEBP2B	16q22.1
CBG~withdrawn	symbol withdrawn, see SERPINA6			
CBL	Cbl proto-oncogene, E3 ubiquitin protein ligase	CBL2	RNF55, c-Cbl	11q23.3
CBLB	Cbl proto-oncogene B, E3 ubiquitin protein ligase		RNF56, Cbl-b	3q
CBLC	Cbl proto-oncogene C, E3 ubiquitin protein ligase		CBL-3, CBL-SL, RNF57	19q13.2
CBLL1	Cbl proto-oncogene-like 1, E3 ubiquitin protein ligase		HAKAI, FLJ23109, RNF188	7q22.3
CBLN1	cerebellin 1 precursor			16q12.1
CBLN2	cerebellin 2 precursor			18q22.3
CBLN3	cerebellin 3 precursor			14q12
CBLN4	cerebellin 4 precursor	CBLNL1	dJ885A10.1	20q13
CBP1~withdrawn	symbol withdrawn, see SERPINH1			
CBP2~withdrawn	symbol withdrawn, see SERPINH1			
CBP~withdrawn	symbol withdrawn, see OPN1LW			
CBR1	carbonyl reductase 1	CBR	SDR21C1	21q22.1
CBR3	carbonyl reductase 3		SDR21C2	21q22.2
CBR3-AS1	CBR3 antisense RNA 1		PlncRNA-1	21q22.12
CBR4	carbonyl reductase 4		FLJ14431, SDR45C1	4q32.3
CBS	cystathionine-beta-synthase		HIP4	21q22.3
CBWD1	COBW domain containing 1			9p24.3
CBWD2	COBW domain containing 2			2q14.1
CBWD3	COBW domain containing 3		bA561O23.1	9q13
CBWD4P	COBW domain containing 4 pseudogene			9p11.2
CBWD5	COBW domain containing 5			9q13
CBWD6	COBW domain containing 6		OTTHUMG00000066820	9q13
CBWD7	COBW domain containing 7		OTTHUMG00000067194	9p12
CBX1	chromobox homolog 1		HP1Hs-beta, M31, MOD1, CBX, HP1-BETA	17q21.32
CBX1P1	chromobox homolog 1 pseudogene 1			Xq11.1
CBX1P2	chromobox homolog 1 pseudogene 2			Xp22.13
CBX1P3	chromobox homolog 1 pseudogene 3			1q32.1
CBX1P4	chromobox homolog 1 pseudogene 4			Xp22.13
CBX1P5	chromobox homolog 1 pseudogene 5	CBX9		3q26.1
CBX2	chromobox homolog 2	CDCA6	MGC10561	17q25.3
CBX3	chromobox homolog 3		HP1Hs-gamma	7p15.2
CBX3P1	chromobox homolog 3 pseudogene 1			11p14.1
CBX3P2	chromobox homolog 3 pseudogene 2			18p11.32
CBX3P3	chromobox homolog 3 pseudogene 3			5q22.2
CBX3P4	chromobox homolog 3 pseudogene 4			12p13.33
CBX3P5	chromobox homolog 3 pseudogene 5			12q22
CBX3P6	chromobox homolog 3 pseudogene 6			2q24.1
CBX3P7	chromobox homolog 3 pseudogene 7			11q14.3
CBX3P8	chromobox homolog 3 pseudogene 8			11p11.12
CBX3P9	chromobox homolog 3 pseudogene 9			6q22.1
CBX4	chromobox homolog 4		hPC2, PC2, NBP16	17q25.3
CBX5	chromobox homolog 5		HP1Hs-alpha, HP1, HP1-ALPHA	12q13.13
CBX5P1	chromobox homolog 5 pseudogene 1			3p11.1
CBX6	chromobox homolog 6			22q13.1
CBX7	chromobox homolog 7			22q13.1
CBX8	chromobox homolog 8		RC1, HPC3, PC3	17q25.3
CBY1	chibby homolog 1 (Drosophila)	C22orf2, PGEA1	PIGEA14, PIGEA-14, Chibby, Cby	22q12
CBY3	chibby homolog 3 (Drosophila)			5q35.3
CC2D1A	coiled-coil and C2 domain containing 1A		FLJ20241, MRT3	19p13.12
CC2D1B	coiled-coil and C2 domain containing 1B		KIAA1836	1p32.3
CC2D2A	coiled-coil and C2 domain containing 2A		KIAA1345, MKS6, JBTS9	4p15.33
CC2D2B	coiled-coil and C2 domain containing 2B	C10orf130	bA248J23.4	10q23.33
CCA1	cataract, congenital, cerulean type, 1		CTRCT7	17q24
CCA2~withdrawn	symbol withdrawn, see CRYBB2			
CCAL1	chondrocalcinosis 1 (calcium pyrophosphate-deposition disease, early onset osteoarthritis)		CPDD	8q
CCAL2~withdrawn	symbol withdrawn, see ANKH			
CCAR1	cell division cycle and apoptosis regulator 1		FLJ10590, CARP-1, CARP1	10q22.1
CCAR2	cell cycle and apoptosis regulator 2	KIAA1967	DBC-1, DBC1, NET35	8p22
CCAT1	colon cancer associated transcript 1 (non-protein coding)		CARLo-5	8q24.21
CCAT2	colon cancer associated transcript 2 (non-protein coding)		NCCP1, LINC00873	8q24.21
CCAT~withdrawn	symbol withdrawn, see GCNT2			
CCA~withdrawn	symbol withdrawn, see FBN2			
CCBE1	collagen and calcium binding EGF domains 1		FLJ30681, KIAA1983	18q21.32
CCBL1	cysteine conjugate-beta lyase, cytoplasmic		KATI, GTK	9q34.11
CCBL2	cysteine conjugate-beta lyase 2		RBM1, RP11-82K18.3, KAT3	1p22.2
CCD#~withdrawn	entry withdrawn			
CCD1~withdrawn	symbol withdrawn, see RUNX2			
CCDC3	coiled-coil domain containing 3		DKFZp761F241	10p14
CCDC6	coiled-coil domain containing 6	TST1, D10S170	PTC, TPC, H4	10q21.2
CCDC7	coiled-coil domain containing 7	C10orf68	FLJ32762, FLJ13031	10p11.23
CCDC8	coiled-coil domain containing 8		DKFZp564K0322, 3M3, PPP1R20	19q13.33
CCDC9	coiled-coil domain containing 9		DKFZP586M1019	19q13.33
CCDC11P1	coiled-coil domain containing 11 pseudogene 1			5p13.1
CCDC12	coiled-coil domain containing 12		MGC23918	3p21.31
CCDC13	coiled-coil domain containing 13		FLJ25467	3p22.1
CCDC13-AS1	CCDC13 antisense RNA 1			3p22.1
CCDC14	coiled-coil domain containing 14		FLJ12892, DKFZp434L1050	3q21.1
CCDC15	coiled-coil domain containing 15		FLJ13215	11q24.2
CCDC17	coiled-coil domain containing 17		FLJ33084	1p34.1
CCDC18	coiled-coil domain containing 18		NY-SAR-41	1p22.1
CCDC22	coiled-coil domain containing 22	CXorf37	JM1	Xp11.23
CCDC23	coiled-coil domain containing 23		MGC45441	1p34.2
CCDC24	coiled-coil domain containing 24		MGC45441	1p34.1
CCDC25	coiled-coil domain containing 25		FLJ10853	8p21.1
CCDC26	CCDC26 long non-coding RNA		MGC27434, RAM	8q24.21
CCDC27	coiled-coil domain containing 27		FLJ32825	1p36.32
CCDC28A	coiled-coil domain containing 28A	C6orf80	CCRL1AP, DKFZp586D0623	6q23.1-q24.1
CCDC28B	coiled-coil domain containing 28B		MGC1203, RP4-622L5.5	1p36.11-p34.2
CCDC30	coiled-coil domain containing 30		FLJ20972, PFD6L, LOC728621	1p34.2
CCDC33	coiled-coil domain containing 33		FLJ32855, CT61	15q24.1
CCDC34	coiled-coil domain containing 34		NY-REN-41, L15, RAMA3	11p14.1
CCDC34P1	coiled-coil domain containing 34 pseudogene 1			4q25
CCDC36	coiled-coil domain containing 36		FLJ25320, CT74	3p21.31
CCDC37	coiled-coil domain containing 37		FLJ40083, MIA1	3q21.2
CCDC37-AS1	CCDC37 antisense RNA 1 (head to head)			3q21.3
CCDC38	coiled-coil domain containing 38		FLJ40089	12q23.1
CCDC39	coiled-coil domain containing 39		DKFZp434A128, CILD14, FAP59	3q26.33
CCDC39-AS1	CCDC39 antisense RNA 1			3q26.33
CCDC40	coiled-coil domain containing 40		FLJ20753, KIAA1640, FLJ32021, CILD15, FAP172	17q25.3
CCDC42	coiled-coil domain containing 42		FLJ32734, CCDC42A	17p13.1
CCDC42B	coiled-coil domain containing 42B		MIA2	12q24.13
CCDC43	coiled-coil domain containing 43		FLJ31795	17q21.31
CCDC47	coiled-coil domain containing 47		GK001	17q23.3
CCDC50	coiled-coil domain containing 50	C3orf6, DFNA44	Ymer	3q28
CCDC51	coiled-coil domain containing 51		FLJ12436	3p21.31
CCDC53	coiled-coil domain containing 53		CGI-116	12q23.3
CCDC54	coiled-coil domain containing 54		NYD-SP17, FLJ25362, SP17	3q13.12
CCDC57	coiled-coil domain containing 57		FLJ00130, FLJ23754	17q25.3
CCDC58	coiled-coil domain containing 58		FLJ33273	3q21.1
CCDC58P1	coiled-coil domain containing 58 pseudogene 1			18p11.22
CCDC58P2	coiled-coil domain containing 58 pseudogene 2			10q11.23
CCDC58P3	coiled-coil domain containing 58 pseudogene 3			18p11.21
CCDC58P4	coiled-coil domain containing 58 pseudogene 4			3p22.1
CCDC58P5	coiled-coil domain containing 58 pseudogene 5			11q13.4
CCDC59	coiled-coil domain containing 59		HSPC128, TAP26, BR22	12q21.31
CCDC60	coiled-coil domain containing 60		MGC39827	12q24.23
CCDC61	coiled-coil domain containing 61			19q13.32
CCDC62	coiled-coil domain containing 62		TSP-NY, FLJ40344, CT109, ERAP75	12q24.31
CCDC63	coiled-coil domain containing 63		ODA5, FLJ35843	12q24.11
CCDC64	coiled-coil domain containing 64		FLJ26450	12q24.23
CCDC64B	coiled-coil domain containing 64B			16p13.3
CCDC65	coiled-coil domain containing 65		NYD-SP28, FLJ35732, FAP250, CILD27	12q13.12
CCDC66	coiled-coil domain containing 66		DKFZp686C0433	3p14.3
CCDC67	coiled-coil domain containing 67		FLJ25393	11q21
CCDC68	coiled-coil domain containing 68		SE57-1	18q21
CCDC69	coiled-coil domain containing 69		FLJ13705, DKFZP434C171	5q33.1
CCDC70	coiled-coil domain containing 70		DKFZP434K1172, FLJ25853	13q14.3
CCDC71	coiled-coil domain containing 71		FLJ12800	3p21.31
CCDC71L	coiled-coil domain containing 71-like	C7orf74	FLJ36031	7q22.3
CCDC73	coiled-coil domain containing 73		NY-SAR-79	11p13
CCDC74A	coiled-coil domain containing 74A		FLJ40345	2q21.1
CCDC74B	coiled-coil domain containing 74B		DKFZp434E2321	2q21.1
CCDC75P1	coiled-coil domain containing 75 pseudogene 1			3p13
CCDC77	coiled-coil domain containing 77		MGC13183	12p13.33
CCDC78	coiled-coil domain containing 78	C16orf25	FLJ34512	16p13.3
CCDC79	coiled-coil domain containing 79		FLJ35894	16q22.1
CCDC80	coiled-coil domain containing 80		URB, SSG1, DRO1	3q13.2
CCDC81	coiled-coil domain containing 81		FLJ16339, FLJ23514	11q14.2
CCDC82	coiled-coil domain containing 82		FLJ23518	11q21
CCDC83	coiled-coil domain containing 83		MGC34732, FLJ42119, CT148	11q14.1-q14.2
CCDC84	coiled-coil domain containing 84		DLNB14	11q23.3
CCDC85A	coiled-coil domain containing 85A		KIAA1912	2p16.1
CCDC85B	coiled-coil domain containing 85B		DIPA	11q13.1
CCDC85C	coiled-coil domain containing 85C			14q32.31
CCDC86	coiled-coil domain containing 86		MGC2574	11q12.2
CCDC87	coiled-coil domain containing 87		FLJ10786	11q13.2
CCDC88A	coiled-coil domain containing 88A	KIAA1212	FLJ10392, APE, GIV, HkRP1, GRDN	2p16.3
CCDC88B	coiled-coil domain containing 88B	CCDC88	FLJ37970, BRLZ, HkRP3, FLJ00354, GIPIE	11q13.1
CCDC88C	coiled-coil domain containing 88C	KIAA1509	DAPLE, HkRP2, SCA40	14q32.12
CCDC89	coiled-coil domain containing 89		FLJ38159	11q14.1
CCDC90AP1	coiled-coil domain containing 90A pseudogene 1	C17orf23		17p13.3
CCDC90B	coiled-coil domain containing 90B		MDS025, MDS011	11q14.1
CCDC91	coiled-coil domain containing 91		p56, FLJ11088, DKFZp779L1558	12p11.22
CCDC92	coiled-coil domain containing 92		FLJ22471	12q24.31
CCDC93	coiled-coil domain containing 93		FLJ10996	2q14.1
CCDC94	coiled-coil domain containing 94		FLJ10374	19p13.3
CCDC96	coiled-coil domain containing 96		FLJ90575	4p16.1
CCDC97	coiled-coil domain containing 97		FLJ40267, MGC20255	19q13.2
CCDC101	coiled-coil domain containing 101		FLJ32446, SGF29	16p11.2
CCDC102A	coiled-coil domain containing 102A		MGC10992	16q13
CCDC102B	coiled-coil domain containing 102B	C18orf14, ACY1L	FLJ23594, HsT1731, AN	18q22.1
CCDC103	coiled-coil domain containing 103		FLJ13094, FLJ34211, PR46b, CILD17	17q21.31
CCDC105	coiled-coil domain containing 105		FLJ40365	19p13.12
CCDC106	coiled-coil domain containing 106		HSU79303	19q13.42
CCDC107	coiled-coil domain containing 107		MGC31967	9q13.3
CCDC108	coiled-coil domain containing 108		DKFZp434O0527, MGC35338	2q35
CCDC109B	coiled-coil domain containing 109B		FLJ20647	4q25
CCDC110	coiled-coil domain containing 110		KM-HN-1, MGC33607, CT52	4q35.1
CCDC112	coiled-coil domain containing 112		MGC39633	5q22.3
CCDC113	coiled-coil domain containing 113		HSPC065, DKFZp434N1418	16q21
CCDC114	coiled-coil domain containing 114		FLJ32926, CILD20	19q13.32
CCDC115	coiled-coil domain containing 115		MGC12981, FLJ30131, ccp1	2q21.1
CCDC116	coiled-coil domain containing 116		FLJ36046	22q11.21
CCDC117	coiled-coil domain containing 117		FLJ33814	22q12.1
CCDC120	coiled-coil domain containing 120		JM11	Xp11.23
CCDC121	coiled-coil domain containing 121		FLJ43364, FLJ13646	2p23.2
CCDC122	coiled-coil domain containing 122		FLJ31846	13q14.11
CCDC124	coiled-coil domain containing 124			19p13.11
CCDC125	coiled-coil domain containing 125		KENAE	5q13.2
CCDC126	coiled-coil domain containing 126		FLJ23031	7p15.3
CCDC127	coiled-coil domain containing 127		FLJ25701	5p15.33
CCDC129	coiled-coil domain containing 129		FLJ38344	7p14.3
CCDC130	coiled-coil domain containing 130		MGC10471	19p13.13
CCDC132	coiled-coil domain containing 132		KIAA1861, FLJ20097, DKFZp313I2429	7q21.3
CCDC134	coiled-coil domain containing 134		FLJ22349	22q13.2
CCDC136	coiled-coil domain containing 136		KIAA1793, NAG6, DKFZP434G156	7q33
CCDC137	coiled-coil domain containing 137		MGC16597	17q25.3
CCDC137P	coiled-coil domain containing 137 pseudogene			3p13
CCDC138	coiled-coil domain containing 138		FLJ32745	2q13
CCDC140	coiled-coil domain containing 140		FLJ32447	2q36.1
CCDC141	coiled-coil domain containing 141		FLJ39502, CAMDI	2q31.2
CCDC142	coiled-coil domain containing 142		FLJ14397	2p13.1
CCDC144A	coiled-coil domain containing 144A		KIAA0565, FLJ43983	17p11.2
CCDC144B	coiled-coil domain containing 144B (pseudogene)		FLJ36492	17p11.2
CCDC144CP	coiled-coil domain containing 144C, pseudogene	CCDC144C		17p11.2
CCDC144NL	coiled-coil domain containing 144 family, N-terminal like		MGC87631	17p11.2
CCDC144NL-AS1	CCDC144NL antisense RNA 1			17p11.2
CCDC146	coiled-coil domain containing 146		KIAA1505	7q11.23
CCDC147-AS1	CCDC147 antisense RNA 1 (head to head)			10q25.1
CCDC148	coiled-coil domain containing 148		MGC125588	2q24.1
CCDC148-AS1	CCDC148 antisense RNA 1			2q24.1
CCDC149	coiled-coil domain containing 149		DKFZp761B107	4p15.2
CCDC150	coiled-coil domain containing 150		FLJ39660	2q33.1
CCDC150P1	coiled-coil domain containing 150 pseudogene 1			12q24.31
CCDC151	coiled-coil domain containing 151		MGC20983	19p13.2
CCDC152	coiled-coil domain containing 152		LOC100129792	5p12
CCDC153	coiled-coil domain containing 153		LOC283152	11q23.3
CCDC154	coiled-coil domain containing 154	C16orf29	LOC645811	16p13.3
CCDC155	coiled-coil domain containing 155		FLJ32658, KASH5	19q13.33
CCDC157	coiled-coil domain containing 157			22q12.2
CCDC158	coiled-coil domain containing 158		FLJ25770	4q21.1
CCDC159	coiled-coil domain containing 159			19p13.2
CCDC160	coiled-coil domain containing 160			Xq26.2
CCDC162P	coiled-coil domain containing 162, pseudogene	C6orf184, C6orf185, CCDC162	bA425D10.7, bA425D10.3	6q21
CCDC163P	coiled-coil domain containing 163, pseudogene	C1orf231	LOC126661	1p34.1
CCDC166	coiled-coil domain containing 166			8q24.3
CCDC167	coiled-coil domain containing 167	C6orf129	dJ153P14.2	6p21.2
CCDC168	coiled-coil domain containing 168	C13orf40	FLJ40176	13q33.1
CCDC169	coiled-coil domain containing 169	C13orf38	RP11-251J8.1, LOC728591	13q13.3
CCDC169-SOHLH2	CCDC169-SOHLH2 readthrough	C13orf38-SOHLH2		13q13.3
CCDC170	coiled-coil domain containing 170	C6orf97	FLJ23305, bA282P11.1	6q25.1
CCDC171	coiled-coil domain containing 171	C9orf93	FLJ39267, FLJ46740, Em:AL513423.1, bA778P13.1, bA536D16.1	9p22.2
CCDC172	coiled-coil domain containing 172	C10orf96	MGC35062	10q26.11-q26.12
CCDC173	coiled-coil domain containing 173	C2orf77	LOC129881	2q31.1
CCDC174	coiled-coil domain containing 174	C3orf19	FLJ33839	3p25.1
CCDC175	coiled-coil domain containing 175	C14orf38		14q23.1
CCDC176	coiled-coil domain containing 176	C14orf45		14q24.3
CCDC177	coiled-coil domain containing 177	C14orf162	PLPL	14q24.1
CCDC178	coiled-coil domain containing 178	C18orf34	FLJ44050	18q12.1
CCDC179	coiled-coil domain containing 179			11p14.3
CCDC180	coiled-coil domain containing 180	KIAA1529, C9orf174	DKFZp434I2420, BDAG1	9q22.33
CCDC181	coiled-coil domain containing 181	C1orf114	FLJ25846	1q24
CCDC182	coiled-coil domain containing 182			17q22
CCDC183	coiled-coil domain containing 183	KIAA1984	MGC15438, bA216L13.7	9q34.3
CCDC183-AS1	CCDC183 antisense RNA 1	KIAA1984-AS1		9q34.3
CCDC184	coiled-coil domain containing 184	C12orf68	LOC387856	12q13.11
CCDC185	coiled-coil domain containing 185	C1orf65	FLJ35728	1q42.11
CCDC186	coiled-coil domain containing 186	C10orf118	FLJ10188, FLJ35301	10q26.11
CCER1	coiled-coil glutamate-rich protein 1	C12orf12	MGC26598	12q21.33
CCER2	coiled-coil glutamate-rich protein 2			19q13.2
CCHCR1	coiled-coil alpha-helical rod protein 1	C6orf18	HCR	6p21.3
CCIN	calicin		KBTBD14, BTBD20	9p13.1
CCK	cholecystokinin			3p22.1
CCKAR	cholecystokinin A receptor			4p15.2
CCKBR	cholecystokinin B receptor			11p15.4
CCL1	chemokine (C-C motif) ligand 1	SCYA1	I-309, TCA3, P500, SISe	17q11.2
CCL2	chemokine (C-C motif) ligand 2	SCYA2	MCP1, MCP-1, MCAF, SMC-CF, GDCF-2, HC11, MGC9434	17q11.2-q21.1
CCL3	chemokine (C-C motif) ligand 3	SCYA3	G0S19-1, LD78ALPHA, MIP-1-alpha	17q12
CCL3L1	chemokine (C-C motif) ligand 3-like 1	D17S1718, SCYA3L, SCYA3L1	G0S19-2, LD78BETA	17q12
CCL3L3	chemokine (C-C motif) ligand 3-like 3		MGC12815	17q21.1
CCL3P1	chemokine (C-C motif) ligand 3 pseudogene 1	SCYA3L2, CCL3L2	LD78gamma	17q12
CCL4	chemokine (C-C motif) ligand 4	LAG1, SCYA4	MIP-1-beta, Act-2, AT744.1	17q21-q23
CCL4L1	chemokine (C-C motif) ligand 4-like 1	SCYA4L, CCL4L	AT744.2, LAG-1	17q12
CCL4L2	chemokine (C-C motif) ligand 4-like 2			17q12
CCL5	chemokine (C-C motif) ligand 5	D17S136E, SCYA5	RANTES, SISd, TCP228, MGC17164	17q11.2-q12
CCL7	chemokine (C-C motif) ligand 7	SCYA6, SCYA7	MCP-3, NC28, FIC, MARC, MCP3	17q11.2-q12
CCL8	chemokine (C-C motif) ligand 8	SCYA8	MCP-2, HC14	17q11.2
CCL11	chemokine (C-C motif) ligand 11	SCYA11	eotaxin, MGC22554	17q21.1-q21.2
CCL13	chemokine (C-C motif) ligand 13	SCYA13	MCP-4, NCC-1, SCYL1, CKb10, MGC17134	17q11.2
CCL14	chemokine (C-C motif) ligand 14	SCYA14	HCC-1, HCC-3, NCC-2, SCYL2, CKb1, MCIF	17q11.2
CCL15	chemokine (C-C motif) ligand 15	SCYA15	HCC-2, NCC-3, SCYL3, MIP-5, Lkn-1, MIP-1d, HMRP-2B	17q11.2
CCL15-CCL14	CCL15-CCL14 readthrough (NMD candidate)			17q12
CCL16	chemokine (C-C motif) ligand 16	SCYA16	NCC-4, SCYL4, LEC, HCC-4, LMC, LCC-1, CKb12, Mtn-1	17q11.2
CCL17	chemokine (C-C motif) ligand 17	SCYA17	TARC, ABCD-2	16q13
CCL18	chemokine (C-C motif) ligand 18 (pulmonary and activation-regulated)	SCYA18	DC-CK1, PARC, AMAC-1, DCCK1, MIP-4, CKb7	17q11.2
CCL19	chemokine (C-C motif) ligand 19	SCYA19	ELC, MIP-3b, exodus-3, CKb11	9p13
CCL20	chemokine (C-C motif) ligand 20	SCYA20	LARC, MIP-3a, exodus-1, ST38, CKb4	2q36.3
CCL21	chemokine (C-C motif) ligand 21	SCYA21	SLC, exodus-2, TCA4, CKb9, 6Ckine, ECL	9p13
CCL22	chemokine (C-C motif) ligand 22	SCYA22	MDC, STCP-1, ABCD-1, DC/B-CK, A-152E5.1, MGC34554	16q13
CCL23	chemokine (C-C motif) ligand 23	SCYA23	Ckb-8, MPIF-1, MIP-3, CKb8	17q11.2
CCL24	chemokine (C-C motif) ligand 24	SCYA24	Ckb-6, MPIF-2, eotaxin-2, MPIF2	7q11.23
CCL25	chemokine (C-C motif) ligand 25	SCYA25	TECK, Ckb15	19p13.2
CCL26	chemokine (C-C motif) ligand 26	SCYA26	MIP-4alpha, eotaxin-3, IMAC, MIP-4a, TSC-1	7q11.2
CCL27	chemokine (C-C motif) ligand 27	SCYA27	ALP, ILC, CTACK, skinkine, ESkine, PESKY, CTAK	9p13
CCL28	chemokine (C-C motif) ligand 28		SCYA28, MEC, CCK1	5p12
CCL~withdrawn	symbol withdrawn, see CRYGEP			
CCM2	cerebral cavernous malformation 2	C7orf22	MGC4607, OSM	7p13
CCM2L	cerebral cavernous malformation 2-like	C20orf160	dJ310O13.5	20q11.21
CCM3~withdrawn	symbol withdrawn, see PDCD10			
CCNA1	cyclin A1		CT146	13q12.3-q13
CCNA2	cyclin A2	CCNA, CCN1		4q27
CCNA~withdrawn	symbol withdrawn, see CCNA2			
CCNB1	cyclin B1	CCNB		5q12
